Year_Trim,Año,Trimestre,id_calendario,Fecha
2022-3,2022,3,1,2022-3-1
2022-2,2022,2,2,2022-2-1
2022-1,2022,1,3,2022-1-1
2021-4,2021,4,4,2021-4-1
2021-3,2021,3,5,2021-3-1
2021-2,2021,2,6,2021-2-1
2021-1,2021,1,7,2021-1-1
2020-4,2020,4,8,2020-4-1
2020-3,2020,3,9,2020-3-1
2020-2,2020,2,10,2020-2-1
2020-1,2020,1,11,2020-1-1
2019-4,2019,4,12,2019-4-1
2019-3,2019,3,13,2019-3-1
2019-2,2019,2,14,2019-2-1
2019-1,2019,1,15,2019-1-1
2018-4,2018,4,16,2018-4-1
2018-3,2018,3,17,2018-3-1
2018-2,2018,2,18,2018-2-1
2018-1,2018,1,19,2018-1-1
2017-4,2017,4,20,2017-4-1
2017-3,2017,3,21,2017-3-1
2017-2,2017,2,22,2017-2-1
2017-1,2017,1,23,2017-1-1
2016-4,2016,4,24,2016-4-1
2016-3,2016,3,25,2016-3-1
2016-2,2016,2,26,2016-2-1
2016-1,2016,1,27,2016-1-1
2015-4,2015,4,28,2015-4-1
2015-3,2015,3,29,2015-3-1
2015-2,2015,2,30,2015-2-1
2015-1,2015,1,31,2015-1-1
2014-4,2014,4,32,2014-4-1
2014-3,2014,3,33,2014-3-1
2014-2,2014,2,34,2014-2-1
2014-1,2014,1,35,2014-1-1
